customer_zip_code_prefix,item_count,unique_products,unique_sellers,total_price,total_freight,payment_count,total_payment,product_count,missing_product_category,seller_count,seller_states,category_count,geo_lat,geo_lng,geo_city_count,geo_state_count,purchase_year,purchase_month,purchase_dayofweek,purchase_hour,approval_delay_hours,estimated_delivery_month,customer_city_frequency,customer_state_AC,customer_state_AL,customer_state_AM,customer_state_AP,customer_state_BA,customer_state_CE,customer_state_DF,customer_state_ES,customer_state_GO,customer_state_MA,customer_state_MG,customer_state_MS,customer_state_MT,customer_state_PA,customer_state_PB,customer_state_PE,customer_state_PI,customer_state_PR,customer_state_RJ,customer_state_RN,customer_state_RO,customer_state_RR,customer_state_RS,customer_state_SC,customer_state_SE,customer_state_SP,customer_state_TO,payment_types_boleto,payment_types_credit_card,"payment_types_credit_card, debit_card","payment_types_credit_card, voucher",payment_types_debit_card,payment_types_voucher,"payment_types_voucher, credit_card"
6460,1.0,1.0,1.0,47.99,21.18,1.0,69.17,1.0,0.0,1.0,1.0,1.0,-23.49879608893553,-46.83305816446212,1.0,1.0,2018,2,4,15,12.602222222222222,3,0.004160990345317775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
18540,3.0,1.0,1.0,134.97,38.07,1.0,173.04,1.0,0.0,1.0,1.0,1.0,-23.21199047441578,-47.52209837709137,1.0,1.0,2017,11,3,15,35.520833333333336,12,0.0002517325119943138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
13290,1.0,1.0,1.0,349.97,16.54,1.0,366.51,1.0,0.0,1.0,1.0,1.0,-23.08550507419915,-46.95954096067056,1.0,1.0,2018,6,5,0,0.2702777777777778,7,0.0003553870757566783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
90550,1.0,1.0,1.0,39.49,15.38,1.0,54.87,1.0,0.0,1.0,1.0,1.0,-30.01356847741822,-51.19024851930904,1.0,1.0,2018,6,3,21,27.267777777777777,7,0.013993366107919208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
85660,1.0,1.0,1.0,65.0,18.02,1.0,83.02,1.0,0.0,1.0,1.0,1.0,-25.748854265422125,-53.06008829226007,1.0,1.0,2017,5,6,15,36.4425,6,0.00026654030681750874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8330,1.0,1.0,1.0,50.9,15.44,1.0,66.34,1.0,0.0,1.0,1.0,1.0,-23.613843837563973,-46.46727522958676,2.0,1.0,2018,5,4,23,0.19305555555555556,5,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
80740,2.0,1.0,1.0,91.8,28.2,1.0,120.0,1.0,0.0,1.0,1.0,1.0,-25.44178653148088,-49.311076015365074,1.0,1.0,2018,2,0,14,42.99138888888889,3,0.016022033998696915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37502,1.0,1.0,1.0,124.9,21.36,1.0,146.26,1.0,0.0,1.0,1.0,1.0,-22.434827421253168,-45.45127149652402,2.0,1.0,2017,5,3,10,0.2263888888888889,5,0.0010069300479772553,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86125,1.0,1.0,1.0,59.9,26.74,1.0,86.64,1.0,0.0,1.0,1.0,1.0,-23.72477074378504,-51.09605525748552,1.0,1.0,2017,12,3,12,38.58222222222222,1,1.480779482319493e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6663,2.0,2.0,1.0,196.8,31.11,1.0,263.24,2.0,0.0,1.0,1.0,2.0,-23.557647455396506,-46.93978258666853,1.0,1.0,2018,1,1,21,23.915555555555557,2,0.001954628916661731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9330,1.0,1.0,1.0,69.9,12.43,1.0,82.33,1.0,0.0,1.0,1.0,1.0,-23.66229850330317,-46.42169512048245,2.0,1.0,2018,5,5,15,0.2863888888888889,5,0.0032132914766332997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9090,1.0,1.0,1.0,252.0,28.95,1.0,280.95,1.0,0.0,1.0,1.0,1.0,-23.65225089983032,-46.53834444978408,2.0,1.0,2017,2,2,9,41.04805555555556,3,0.008277557306165965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6453,1.0,1.0,1.0,599.99,37.56,1.0,637.55,1.0,0.0,1.0,1.0,1.0,-23.49707799139454,-46.85105837491414,1.0,1.0,2018,5,0,21,24.1325,6,0.004160990345317775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
96400,1.0,1.0,1.0,339.9,24.09,1.0,363.99,1.0,0.0,1.0,1.0,1.0,-31.32726762241418,-54.10645023095245,2.0,1.0,2018,5,5,13,0.42194444444444446,7,0.000636735177397382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7193,1.0,1.0,1.0,164.89,18.0,1.0,182.89,1.0,0.0,1.0,1.0,1.0,-23.4472850993467,-46.50247826035101,1.0,1.0,2017,1,5,14,61.785833333333336,3,0.011298347450097732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6408,2.0,1.0,1.0,33.8,14.78,1.0,48.58,1.0,0.0,1.0,1.0,1.0,-23.495556548611457,-46.88538696924187,1.0,1.0,2018,8,4,10,0.24083333333333334,8,0.004160990345317775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3570,1.0,1.0,1.0,85.9,21.09,1.0,106.99,1.0,0.0,1.0,1.0,1.0,-23.56623239736193,-46.487292648619615,2.0,1.0,2017,11,4,3,25.37638888888889,11,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4564,1.0,1.0,1.0,29.99,7.95,1.0,37.94,1.0,1.0,1.0,1.0,0.0,-23.613023583846296,-46.68482314602869,2.0,1.0,2018,6,4,12,87.805,7,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25555,1.0,1.0,1.0,39.9,14.1,1.0,54.0,1.0,0.0,1.0,1.0,1.0,-22.78130043658109,-43.37040843885934,2.0,1.0,2017,6,5,12,0.15388888888888888,7,0.001288278149617959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82980,1.0,1.0,1.0,209.99,24.23,1.0,234.22,1.0,0.0,1.0,1.0,1.0,-25.47109228118367,-49.19449260278104,1.0,1.0,2018,7,5,13,0.23583333333333334,8,0.016022033998696915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66077,1.0,1.0,1.0,108.99,27.2,1.0,136.19,1.0,0.0,1.0,1.0,1.0,-1.4037776808396931,-48.45754701841616,2.0,1.0,2018,6,6,15,18.46,7,0.004397915062488894,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2926,1.0,1.0,1.0,79.0,13.57,1.0,92.57,1.0,0.0,1.0,1.0,1.0,-23.499976294074788,-46.70156108562361,2.0,1.0,2018,1,0,15,0.40805555555555556,2,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
29141,1.0,1.0,1.0,170.0,19.34,1.0,189.34,1.0,0.0,1.0,1.0,1.0,-20.35304225845024,-40.372988366327554,1.0,1.0,2018,8,0,22,0.33305555555555555,8,0.0013771249185571285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2406,1.0,1.0,1.0,53.69,8.29,1.0,61.98,1.0,0.0,1.0,1.0,1.0,-23.488006971283674,-46.63010416827912,2.0,1.0,2018,5,6,21,34.693333333333335,6,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
57085,1.0,1.0,1.0,199.7,27.87,1.0,227.57,1.0,0.0,1.0,1.0,1.0,-9.558634084311777,-35.73914118276932,2.0,1.0,2017,3,5,12,0.8719444444444444,5,0.0023396315820647987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26130,2.0,2.0,1.0,119.8,35.34,1.0,155.14,2.0,0.0,1.0,1.0,1.0,-22.76452043290213,-43.40324268558952,1.0,1.0,2017,9,4,0,0.5938888888888889,10,0.001066161227270035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1511,1.0,1.0,1.0,45.9,16.25,1.0,62.15,1.0,0.0,1.0,1.0,1.0,-23.561456812728604,-46.63294793571508,2.0,1.0,2017,12,1,19,0.14805555555555555,1,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
38405,1.0,1.0,1.0,317.0,35.76,1.0,352.76,1.0,0.0,1.0,1.0,1.0,-18.892698009109008,-48.24993989716173,2.0,1.0,2018,5,1,21,20.47,6,0.003968489012616241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22793,2.0,2.0,1.0,110.8,18.0,1.0,128.8,2.0,0.0,1.0,1.0,1.0,-23.00061899109568,-43.40471828456725,1.0,1.0,2018,2,3,16,0.4525,3,0.06870816797962448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2975,1.0,1.0,1.0,219.0,16.83,1.0,235.83,1.0,0.0,1.0,1.0,1.0,-23.47813090302306,-46.711362496104734,2.0,1.0,2018,7,3,10,7.2219444444444445,7,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
22610,1.0,1.0,1.0,69.9,20.06,1.0,89.96,1.0,0.0,1.0,1.0,1.0,-22.99599813649958,-43.261663703422506,1.0,1.0,2018,3,4,15,0.30027777777777775,4,0.06870816797962448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39480,1.0,1.0,1.0,55.49,16.15,1.0,71.64,1.0,0.0,1.0,1.0,1.0,-15.483420529424649,-44.379894155549685,2.0,1.0,2018,1,1,19,15.402222222222223,2,0.000207309127524729,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4938,1.0,1.0,1.0,435.0,79.41,1.0,514.41,1.0,0.0,1.0,1.0,1.0,-23.69002489502889,-46.76140900780606,2.0,1.0,2018,5,4,14,0.3983333333333333,5,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
28025,1.0,1.0,1.0,79.0,17.8,1.0,96.8,1.0,0.0,1.0,1.0,1.0,-21.78310012212437,-41.324123840149454,1.0,1.0,2018,1,1,15,1.168611111111111,2,0.0024136705561807735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80430,2.0,1.0,1.0,179.98,22.48,1.0,202.46,1.0,0.0,1.0,1.0,1.0,-25.43014407428628,-49.28531986744621,1.0,1.0,2017,3,3,12,13.899166666666666,4,0.016022033998696915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16600,1.0,1.0,1.0,51.0,12.8,1.0,63.8,1.0,0.0,1.0,1.0,1.0,-21.99631103414352,-49.454691250831175,2.0,1.0,2018,4,6,18,0.2811111111111111,5,0.0001480779482319493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
8490,1.0,1.0,1.0,89.9,11.24,1.0,101.14,1.0,0.0,1.0,1.0,1.0,-23.573100861060325,-46.415395875191386,2.0,1.0,2017,4,2,22,4.195555555555556,5,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2130,1.0,1.0,1.0,49.9,8.72,1.0,58.62,1.0,0.0,1.0,1.0,1.0,-23.50846749738403,-46.58356366642944,2.0,1.0,2017,2,4,14,0.1986111111111111,2,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
29105,1.0,1.0,1.0,159.0,18.91,1.0,177.91,1.0,0.0,1.0,1.0,1.0,-20.37865765372177,-40.31950139302451,1.0,1.0,2018,8,5,22,34.53388888888889,8,0.0034798317834508086,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76600,1.0,1.0,1.0,15.6,16.11,1.0,31.71,1.0,0.0,1.0,1.0,1.0,-15.938605999778815,-50.142780792093696,2.0,1.0,2017,12,0,21,0.1825,1,5.923117929277972e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26276,3.0,1.0,1.0,29.700000000000003,45.69,1.0,75.39,1.0,0.0,1.0,1.0,1.0,-22.747655366540023,-43.50045199921573,2.0,1.0,2018,4,6,17,0.21555555555555556,5,0.004501569626251259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5469,1.0,1.0,1.0,18.9,13.47,1.0,32.37,1.0,0.0,1.0,1.0,1.0,-23.541128175943864,-46.719557452207845,2.0,1.0,2018,4,0,10,0.25,5,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
7096,1.0,1.0,1.0,110.0,0.0,1.0,110.0,1.0,0.0,1.0,1.0,1.0,-23.45129248165737,-46.53871046036948,1.0,1.0,2018,5,5,21,0.44027777777777777,5,0.011298347450097732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11065,1.0,1.0,1.0,14.9,9.27,1.0,24.17,1.0,0.0,1.0,1.0,1.0,-23.96522724354383,-46.34358134349832,1.0,1.0,2017,11,6,19,44.69611111111111,12,0.007403897411597465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5752,1.0,1.0,1.0,22.0,9.94,1.0,31.94,1.0,0.0,1.0,1.0,1.0,-23.61857456861513,-46.75202097007318,2.0,1.0,2018,1,1,18,23.880277777777778,2,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
50870,1.0,1.0,1.0,219.9,52.04,1.0,271.94,1.0,0.0,1.0,1.0,1.0,-8.095698255033236,-34.93340657792895,1.0,1.0,2018,3,2,13,0.3408333333333333,4,0.005967541313747556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4374,1.0,1.0,1.0,53.0,13.73,1.0,66.73,1.0,0.0,1.0,1.0,1.0,-23.651937045687344,-46.656416300511445,2.0,1.0,2018,6,0,8,0.3411111111111111,7,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
84015,1.0,1.0,1.0,288.0,20.12,1.0,308.12,1.0,0.0,1.0,1.0,1.0,-25.075805112880232,-50.15949587252997,1.0,1.0,2018,7,4,13,0.5766666666666667,8,0.0014659716874962981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91180,1.0,1.0,1.0,89.99,18.21,1.0,108.2,1.0,0.0,1.0,1.0,1.0,-30.01031645298386,-51.10605319271989,1.0,1.0,2018,4,0,12,23.94472222222222,5,0.013993366107919208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3637,1.0,1.0,1.0,22.15,8.88,1.0,31.03,1.0,0.0,1.0,1.0,1.0,-23.52504164129597,-46.543525157721845,2.0,1.0,2018,5,4,0,3.660833333333333,5,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
14160,1.0,1.0,1.0,44.9,10.96,1.0,55.86,1.0,0.0,1.0,1.0,1.0,-21.13723780944055,-47.98924445538586,2.0,1.0,2017,3,0,14,0.0,4,0.0006811585618669668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
88036,1.0,1.0,1.0,119.9,15.59,1.0,135.49,1.0,0.0,1.0,1.0,1.0,-27.589316882452703,-48.52246814146247,2.0,1.0,2018,3,4,12,0.7011111111111111,3,0.005508499674228514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14660,1.0,1.0,1.0,23.9,10.96,1.0,34.86,1.0,0.0,1.0,1.0,1.0,-20.76762710343456,-47.84072787580174,1.0,1.0,2017,2,4,23,76.48666666666666,2,7.403897411597465e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
68537,1.0,1.0,1.0,129.99,61.19,1.0,191.18,1.0,0.0,1.0,1.0,1.0,-6.525210475145853,-49.87279459345434,2.0,1.0,2018,6,1,12,0.5391666666666667,7,0.00013327015340875437,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13223,1.0,1.0,1.0,69.9,11.99,1.0,81.89,1.0,0.0,1.0,1.0,1.0,-23.21579486313284,-46.81031746077412,2.0,1.0,2017,7,3,17,0.19111111111111112,8,0.0007848131256293312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
30330,1.0,1.0,1.0,50.0,16.6,1.0,66.6,1.0,0.0,1.0,1.0,1.0,-19.94489788213357,-43.93958522933526,1.0,1.0,2017,8,5,13,0.3477777777777778,9,0.028075578984777586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13419,1.0,1.0,1.0,1099.9,16.91,1.0,1116.81,1.0,0.0,1.0,1.0,1.0,-22.729029230512737,-47.6411480898057,1.0,1.0,2017,12,5,21,60.78611111111111,12,0.003583486347213173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
29023,1.0,1.0,1.0,16.99,14.1,1.0,31.09,1.0,0.0,1.0,1.0,1.0,-20.297021210550845,-40.347271252186125,2.0,1.0,2017,11,5,17,0.13472222222222222,12,0.003820411064384292,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
98700,2.0,1.0,1.0,58.8,32.22,1.0,91.02,1.0,0.0,1.0,1.0,1.0,-28.38782850412007,-53.91593589989315,2.0,1.0,2018,3,0,14,13.229444444444445,4,0.0004886572291654327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1007,1.0,1.0,1.0,149.0,8.81,1.0,157.81,1.0,0.0,1.0,1.0,1.0,-23.550046202351663,-46.637251459637646,2.0,1.0,2018,5,3,11,0.5288888888888889,6,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4571,1.0,1.0,1.0,69.9,13.08,1.0,82.98,1.0,0.0,1.0,1.0,1.0,-23.6047804796032,-46.69355855742373,2.0,1.0,2018,1,3,10,0.2544444444444444,1,0.15580761712965704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22060,1.0,1.0,1.0,75.25,18.41,1.0,93.66,1.0,0.0,1.0,1.0,1.0,-22.97702862454598,-43.19034089760792,1.0,1.0,2018,5,0,15,0.1525,6,0.06870816797962448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
